4 #UTIL: 77
34 #UTIL: 70
15 #UTIL: 63
21 #UTIL: 56
20 #UTIL: 56
11 #UTIL: 72
6 #UTIL: 108
6 38 #UTIL: 118
9 10 #UTIL: 88
4 5 #UTIL: 92
4 7 #UTIL: 84
4 6 #UTIL: 85
30 37 #UTIL: 52
11 37 #UTIL: 88
6 37 #UTIL: 92
34 37 #UTIL: 86
30 36 #UTIL: 63
11 36 #UTIL: 99
6 36 #UTIL: 103
34 36 #UTIL: 97
11 35 #UTIL: 76
6 35 #UTIL: 80
34 35 #UTIL: 74
31 34 #UTIL: 74
30 34 #UTIL: 106
29 34 #UTIL: 80
28 34 #UTIL: 74
27 34 #UTIL: 80
7 34 #UTIL: 79
11 34 #UTIL: 142
6 34 #UTIL: 146
3 34 #UTIL: 90
33 34 #UTIL: 78
32 34 #UTIL: 73
6 30 #UTIL: 112
3 30 #UTIL: 56
11 30 #UTIL: 108
11 29 #UTIL: 82
15 16 #UTIL: 98
14 16 #UTIL: 75
13 16 #UTIL: 77
11 16 #UTIL: 59
6 16 #UTIL: 67
14 15 #UTIL: 103
13 15 #UTIL: 105
12 15 #UTIL: 73
11 15 #UTIL: 87
6 15 #UTIL: 95
6 14 #UTIL: 72
13 14 #UTIL: 82
11 14 #UTIL: 64
6 13 #UTIL: 74
12 13 #UTIL: 52
11 13 #UTIL: 66
11 24 #UTIL: 66
6 24 #UTIL: 80
21 24 #UTIL: 68
20 24 #UTIL: 68
11 23 #UTIL: 84
6 23 #UTIL: 98
22 23 #UTIL: 66
21 23 #UTIL: 86
20 23 #UTIL: 86
6 22 #UTIL: 104
21 22 #UTIL: 92
20 22 #UTIL: 92
11 22 #UTIL: 90
6 21 #UTIL: 124
20 21 #UTIL: 112
19 21 #UTIL: 59
11 21 #UTIL: 110
6 20 #UTIL: 124
19 20 #UTIL: 59
11 20 #UTIL: 110
6 19 #UTIL: 71
11 19 #UTIL: 57
6 11 #UTIL: 148
2 6 38 #UTIL: 70
4 5 7 #UTIL: 99
4 5 6 #UTIL: 100
4 6 7 #UTIL: 92
30 31 37 #UTIL: 56
11 31 37 #UTIL: 92
6 31 37 #UTIL: 96
31 34 37 #UTIL: 90
29 30 37 #UTIL: 62
28 30 37 #UTIL: 56
27 30 37 #UTIL: 62
3 30 37 #UTIL: 69
11 30 37 #UTIL: 124
7 30 37 #UTIL: 61
6 30 37 #UTIL: 128
30 36 37 #UTIL: 79
30 35 37 #UTIL: 56
30 34 37 #UTIL: 122
30 33 37 #UTIL: 60
30 32 37 #UTIL: 55
11 29 37 #UTIL: 98
6 29 37 #UTIL: 102
29 36 37 #UTIL: 53
29 34 37 #UTIL: 96
11 28 37 #UTIL: 92
6 28 37 #UTIL: 96
28 34 37 #UTIL: 90
11 27 37 #UTIL: 98
6 27 37 #UTIL: 102
27 36 37 #UTIL: 53
27 34 37 #UTIL: 96
3 36 37 #UTIL: 60
3 34 37 #UTIL: 103
6 11 37 #UTIL: 164
11 36 37 #UTIL: 115
11 35 37 #UTIL: 92
11 34 37 #UTIL: 158
7 36 37 #UTIL: 52
7 34 37 #UTIL: 95
6 36 37 #UTIL: 119
6 35 37 #UTIL: 96
6 34 37 #UTIL: 162
34 36 37 #UTIL: 113
34 35 37 #UTIL: 90
33 34 37 #UTIL: 94
32 34 37 #UTIL: 89
30 31 36 #UTIL: 67
11 31 36 #UTIL: 103
6 31 36 #UTIL: 107
31 34 36 #UTIL: 101
29 30 36 #UTIL: 73
28 30 36 #UTIL: 67
11 30 36 #UTIL: 135
7 30 36 #UTIL: 72
6 30 36 #UTIL: 139
30 33 36 #UTIL: 71
30 32 36 #UTIL: 66
3 30 36 #UTIL: 80
30 34 36 #UTIL: 133
30 35 36 #UTIL: 67
27 30 36 #UTIL: 73
11 29 36 #UTIL: 109
6 29 36 #UTIL: 113
3 29 36 #UTIL: 54
29 34 36 #UTIL: 107
11 28 36 #UTIL: 103
6 28 36 #UTIL: 107
28 34 36 #UTIL: 101
11 27 36 #UTIL: 109
6 27 36 #UTIL: 113
27 34 36 #UTIL: 107
3 11 36 #UTIL: 61
3 34 36 #UTIL: 114
7 11 36 #UTIL: 54
6 11 36 #UTIL: 175
11 35 36 #UTIL: 103
11 34 36 #UTIL: 169
11 33 36 #UTIL: 107
11 32 36 #UTIL: 102
7 34 36 #UTIL: 106
6 35 36 #UTIL: 107
6 34 36 #UTIL: 173
6 33 36 #UTIL: 111
34 35 36 #UTIL: 101
33 34 36 #UTIL: 105
32 34 36 #UTIL: 100
11 31 35 #UTIL: 80
6 31 35 #UTIL: 84
31 34 35 #UTIL: 78
11 30 35 #UTIL: 112
6 30 35 #UTIL: 116
30 34 35 #UTIL: 110
11 29 35 #UTIL: 86
6 29 35 #UTIL: 90
29 34 35 #UTIL: 84
11 28 35 #UTIL: 80
6 28 35 #UTIL: 84
28 34 35 #UTIL: 78
11 27 35 #UTIL: 86
6 27 35 #UTIL: 90
27 34 35 #UTIL: 84
6 11 35 #UTIL: 152
11 34 35 #UTIL: 146
7 34 35 #UTIL: 83
6 34 35 #UTIL: 150
3 34 35 #UTIL: 91
33 34 35 #UTIL: 82
32 34 35 #UTIL: 77
30 31 34 #UTIL: 110
29 31 34 #UTIL: 84
28 31 34 #UTIL: 78
27 31 34 #UTIL: 84
7 31 34 #UTIL: 83
6 31 34 #UTIL: 150
31 32 34 #UTIL: 77
11 31 34 #UTIL: 146
31 33 34 #UTIL: 82
3 31 34 #UTIL: 91
29 30 34 #UTIL: 116
28 30 34 #UTIL: 110
11 30 34 #UTIL: 178
7 30 34 #UTIL: 115
6 30 34 #UTIL: 182
30 32 34 #UTIL: 109
27 30 34 #UTIL: 116
30 33 34 #UTIL: 114
3 30 34 #UTIL: 123
28 29 34 #UTIL: 84
11 29 34 #UTIL: 152
7 29 34 #UTIL: 89
6 29 34 #UTIL: 156
29 32 34 #UTIL: 83
27 29 34 #UTIL: 90
29 33 34 #UTIL: 88
3 29 34 #UTIL: 97
11 28 34 #UTIL: 146
7 28 34 #UTIL: 83
6 28 34 #UTIL: 150
28 32 34 #UTIL: 77
3 28 34 #UTIL: 91
28 33 34 #UTIL: 82
27 28 34 #UTIL: 84
11 27 34 #UTIL: 152
7 27 34 #UTIL: 89
6 27 34 #UTIL: 156
3 27 34 #UTIL: 97
27 33 34 #UTIL: 88
27 32 34 #UTIL: 83
7 32 34 #UTIL: 82
6 7 34 #UTIL: 94
7 11 34 #UTIL: 97
7 33 34 #UTIL: 87
3 7 34 #UTIL: 88
6 11 34 #UTIL: 218
3 11 34 #UTIL: 104
11 33 34 #UTIL: 150
11 32 34 #UTIL: 145
3 6 34 #UTIL: 90
6 33 34 #UTIL: 154
6 32 34 #UTIL: 149
3 33 34 #UTIL: 95
3 32 34 #UTIL: 90
32 33 34 #UTIL: 81
29 30 33 #UTIL: 54
27 30 33 #UTIL: 54
7 30 33 #UTIL: 53
6 30 33 #UTIL: 120
3 30 33 #UTIL: 61
11 30 33 #UTIL: 116
6 29 33 #UTIL: 94
11 28 33 #UTIL: 84
6 27 33 #UTIL: 94
6 30 32 #UTIL: 115
3 30 32 #UTIL: 56
11 30 32 #UTIL: 111
6 30 31 #UTIL: 116
3 30 31 #UTIL: 57
11 30 31 #UTIL: 112
27 29 30 #UTIL: 56
7 29 30 #UTIL: 55
6 29 30 #UTIL: 122
3 29 30 #UTIL: 63
11 29 30 #UTIL: 118
6 28 30 #UTIL: 116
11 28 30 #UTIL: 112
7 27 30 #UTIL: 55
6 27 30 #UTIL: 122
3 27 30 #UTIL: 63
11 27 30 #UTIL: 118
6 7 30 #UTIL: 60
3 7 30 #UTIL: 54
7 11 30 #UTIL: 63
3 6 30 #UTIL: 56
6 11 30 #UTIL: 184
3 11 30 #UTIL: 70
6 28 29 #UTIL: 90
6 11 29 #UTIL: 158
14 15 16 #UTIL: 138
13 15 16 #UTIL: 140
12 15 16 #UTIL: 108
11 15 16 #UTIL: 122
6 15 16 #UTIL: 130
6 14 16 #UTIL: 107
13 14 16 #UTIL: 117
12 14 16 #UTIL: 85
11 14 16 #UTIL: 99
6 13 16 #UTIL: 109
12 13 16 #UTIL: 87
11 13 16 #UTIL: 101
6 12 16 #UTIL: 77
11 12 16 #UTIL: 69
6 11 16 #UTIL: 91
6 14 15 #UTIL: 135
13 14 15 #UTIL: 145
12 14 15 #UTIL: 113
11 14 15 #UTIL: 127
6 13 15 #UTIL: 137
12 13 15 #UTIL: 115
11 13 15 #UTIL: 129
6 12 15 #UTIL: 105
11 12 15 #UTIL: 97
6 11 15 #UTIL: 119
6 13 14 #UTIL: 114
6 12 14 #UTIL: 82
6 11 14 #UTIL: 96
12 13 14 #UTIL: 92
11 13 14 #UTIL: 106
11 12 14 #UTIL: 74
6 12 13 #UTIL: 84
6 11 13 #UTIL: 98
11 12 13 #UTIL: 76
6 11 12 #UTIL: 66
6 11 24 #UTIL: 134
11 23 24 #UTIL: 96
11 22 24 #UTIL: 102
11 21 24 #UTIL: 122
11 20 24 #UTIL: 122
11 19 24 #UTIL: 69
6 23 24 #UTIL: 110
6 22 24 #UTIL: 116
6 21 24 #UTIL: 136
6 20 24 #UTIL: 136
6 19 24 #UTIL: 83
22 23 24 #UTIL: 78
21 23 24 #UTIL: 98
20 23 24 #UTIL: 98
21 22 24 #UTIL: 104
20 22 24 #UTIL: 104
20 21 24 #UTIL: 124
19 21 24 #UTIL: 71
19 20 24 #UTIL: 71
11 21 23 #UTIL: 140
6 11 23 #UTIL: 152
11 22 23 #UTIL: 120
11 20 23 #UTIL: 140
11 19 23 #UTIL: 87
6 22 23 #UTIL: 134
6 21 23 #UTIL: 154
6 20 23 #UTIL: 154
6 19 23 #UTIL: 101
21 22 23 #UTIL: 122
20 22 23 #UTIL: 122
19 22 23 #UTIL: 69
20 21 23 #UTIL: 142
19 21 23 #UTIL: 89
19 20 23 #UTIL: 89
6 21 22 #UTIL: 160
6 20 22 #UTIL: 160
6 19 22 #UTIL: 107
6 11 22 #UTIL: 158
20 21 22 #UTIL: 148
19 21 22 #UTIL: 95
11 21 22 #UTIL: 146
19 20 22 #UTIL: 95
11 20 22 #UTIL: 146
11 19 22 #UTIL: 93
6 20 21 #UTIL: 180
6 19 21 #UTIL: 127
6 11 21 #UTIL: 178
19 20 21 #UTIL: 115
11 20 21 #UTIL: 166
