NODE_ID, EVENT_TYPE, EVENT_TIME, VOLTAGE, AMPERE, POWER_FACTOR, ACTIVE_POWER, REACTIVE_POWER, APPARENT_POWER, AMOUNT_OF_ACTIVE_POWER, ALS_LEVEL, DIMMING_LEVEL, VIBRATION_X, VIBRATION_Y, VIBRATION_Z, VIBRATION_MAX, NOISE_ORIGIN_DECIBEL, NOISE_ORIGIN_FREQUENCY, NOISE_DECIBEL, NOISE_FREQUENCY, GPS_LONGITUDE, GPS_LATITUDE, GPS_ALTITUDE, GPS_SATELLITE_COUNT
A0E,65,2017-01-06T07:14:04,,,,,,,,,,,,,,,,,,129.041,35.209,113.2,10
A02,65,2017-01-06T07:14:17,,,,,,,,,,,,,,,,,,129.045,35.21,158.6,10
B24,65,2017-01-06T07:14:29,,,,,,,,,,,,,,,,,,129.037,35.212,88.1,6
B26,1,2017-01-06T07:14:38,216.511,0.68981,0.991075,146.434,5410000,149.377,160.1681213,,,,,,,,,,,,,,
B39,1,2017-01-06T07:14:39,222.22,0.668715,0.989828,145.722,5410000,148.464,7602.038574,,,,,,,,,,,,,,
B24,65,2017-01-06T07:14:40,,,,,,,,,,,,,,,,,,129.037,35.212,87.2,7
B1F,1,2017-01-06T07:14:56,218.451,0.706686,0.991075,151.406,5410000,154.428,431.7843628,,,,,,,,,,,,,,
A1D,65,2017-01-06T07:14:57,,,,,,,,,,,,,,,,,,129.038,35.2103,82.3,8
A43,1,2017-01-06T07:15:00,223.302,0.662386,0.989394,145.964,5410000,147.943,80.02420807,,,,,,,,,,,,,,
A13,1,2017-01-06T07:15:01,215.093,0.68981,0.991472,146.089,5410000,147.958,86.22473907,,,,,,,,,,,,,,
B1F,33,2017-01-06T07:15:03,,,,,,,,,,0,252,65,252,,,,,,,,
B23,65,2017-01-06T07:15:03,,,,,,,,,,,,,,,,,,129.037,35.212,105.1,6
B36,1,2017-01-06T07:15:08,222.593,0.672934,0.972235,148.24,5410000,149.809,171.8753357,,,,,,,,,,,,,,
B38,1,2017-01-06T07:15:08,221.884,0.675043,0.97083,147.001,5410000,149.775,166.9395142,,,,,,,,,,,,,,
A2F,33,2017-01-06T07:15:10,,,,,,,,,,2,240,64,240,,,,,,,,
B1F,49,2017-01-06T07:15:32,,,,,,,,,,,,,,15,28,1.5,2800,,,,
A1D,1,2017-01-06T07:15:33,223.936,0.664496,0.970114,146.163,5410000,148.779,118.4149246,,,,,,,,,,,,,,
B39,1,2017-01-06T07:15:38,222.145,0.668715,0.971537,145.722,5410000,148.54,7611.286621,,,,,,,,,,,,,,
B1F,33,2017-01-06T07:15:38,,,,,,,,,,254,247,64,254,,,,,,,,
A02,65,2017-01-06T07:15:39,,,,,,,,,,,,,,,,,,129.045,35.21,162,10
B25,49,2017-01-06T07:15:54,,,,,,,,,,,,,,14,100,1.4,10000,,,,
A40,1,2017-01-06T07:15:55,210.84,0.708795,0.99224,148.727,5410000,149.115,157.7570343,,,,,,,,,,,,,,
B26,49,2017-01-06T07:15:56,,,,,,,,,,,,,,10,50,1,5000,,,,
B33,1,2017-01-06T07:16:03,222.742,0.666605,0.989394,147.002,5410000,148.586,105.4145737,,,,,,,,,,,,,,
A0E,65,2017-01-06T07:16:03,,,,,,,,,,,,,,,,,,129.041,35.209,111.7,10
A3B,1,2017-01-06T07:16:07,211.4,0.757314,0.993325,157.856,5410000,160.073,8242.854492,,,,,,,,,,,,,,
B34,1,2017-01-06T07:16:07,223.115,0.666605,0.9885,145.923,5410000,149.194,114.1922684,,,,,,,,,,,,,,
B3F,1,2017-01-06T07:16:11,218.75,0.740438,0.992611,159.694,5410000,161.854,823.4202271,,,,,,,,,,,,,,
A15,1,2017-01-06T07:16:20,218.601,0.685591,0.990252,147.621,5410000,149.385,162.1916199,,,,,,,,,,,,,,
B37,1,2017-01-06T07:16:33,222.033,0.668715,0.989394,147.356,5410000,148.5,121.4223099,,,,,,,,,,,,,,
B2C,1,2017-01-06T07:16:37,219.235,0.677153,0.993325,146.555,5410000,148.48,142.2707367,,,,,,,,,,,,,,
B39,1,2017-01-06T07:16:38,221.287,0.670824,0.990668,147.127,5410000,148.482,7620.536133,,,,,,,,,,,,,,
A0E,1,2017-01-06T07:16:40,211.586,0.702467,0.991861,147.14,5410000,148.415,122.4142685,,,,,,,,,,,,,,
A11,1,2017-01-06T07:16:50,213.041,0.702467,0.991075,148.31,5410000,149.217,187.8507538,,,,,,,,,,,,,,
A2F,1,2017-01-06T07:16:51,217.22,0.683481,0.990668,146.726,5410000,148.454,111.9719009,,,,,,,,,,,,,,
A30,1,2017-01-06T07:16:55,217.332,0.727781,0.991861,155.954,5410000,158.21,686.8123169,,,,,,,,,,,,,,
A09,49,2017-01-06T07:16:55,,,,,,,,,,,,,,7,66,0.7,6600,,,,
A19,1,2017-01-06T07:16:58,220.541,0.677153,0.989828,147.791,5410000,149.415,120.4737244,,,,,,,,,,,,,,
A05,1,2017-01-06T07:17:00,221.772,0.666605,0.9885,146.338,5410000,148.276,105.9615402,,,,,,,,,,,,,,
B27,1,2017-01-06T07:17:01,216.213,0.683481,0.990252,145.472,5410000,148.317,103.0856781,,,,,,,,,,,,,,
B23,1,2017-01-06T07:17:08,216.399,0.694029,0.990668,148.356,5410000,150.232,221.4730682,,,,,,,,,,,,,,
B23,65,2017-01-06T07:17:10,,,,,,,,,,,,,,,,,,129.037,35.212,97.8,8
B2D,1,2017-01-06T07:17:12,217.22,0.683481,0.991075,145.916,5410000,148.503,127.7498856,,,,,,,,,,,,,,
A01,1,2017-01-06T07:17:20,220.354,0.738329,0.990668,162.022,5410000,163.22,873.9199219,,,,,,,,,,,,,,
B2E,1,2017-01-06T07:17:25,217.854,0.6877,0.991075,147.858,5410000,150.296,200.5423584,,,,,,,,,,,,,,
A0A,1,2017-01-06T07:17:26,220.988,0.677153,0.989828,147.873,5410000,149.163,177.7776337,,,,,,,,,,,,,,
B3E,1,2017-01-06T07:17:27,219.235,0.677153,0.990252,147.077,5410000,148.575,140.8627472,,,,,,,,,,,,,,
A17,1,2017-01-06T07:17:33,220.168,0.672934,0.989828,146.36,5410000,147.763,77.47110748,,,,,,,,,,,,,,
A40,65,2017-01-06T07:17:33,,,,,,,,,,,,,,,,,,129.041,35.209,113.9,10
A04,1,2017-01-06T07:17:35,221.324,0.670824,0.989828,147.317,5410000,148.021,100.9314575,,,,,,,,,,,,,,
B24,1,2017-01-06T07:17:35,216.474,0.740438,0.991861,157.901,5410000,160.687,807.4431152,,,,,,,,,,,,,,
A14,1,2017-01-06T07:17:36,216.138,0.685591,0.991075,147.178,5410000,148.631,129.8634186,,,,,,,,,,,,,,
B39,1,2017-01-06T07:17:37,222.108,0.668715,0.989394,146.423,5410000,148.557,7629.789063,,,,,,,,,,,,,,
A0C,1,2017-01-06T07:17:38,210.803,0.715124,0.992611,148.357,5410000,150.849,249.4302063,,,,,,,,,,,,,,
B22,1,2017-01-06T07:17:40,0,0,1,0,0,0,0,,,,,,,,,,,,,,
B28,1,2017-01-06T07:17:41,219.533,0.675043,0.989394,145.405,5410000,148.149,116.9830627,,,,,,,,,,,,,,
A07,1,2017-01-06T07:17:46,221.362,0.679262,0.988952,148.313,5410000,149.889,216.9992981,,,,,,,,,,,,,,
A45,1,2017-01-06T07:17:46,212.034,0.704576,0.991075,147.496,5410000,149.038,7687.689941,,,,,,,,,,,,,,
A44,1,2017-01-06T07:17:47,221.436,0.719343,0.989828,156.624,5410000,159.71,669.7833862,,,,,,,,,,,,,,
A12,1,2017-01-06T07:17:53,214.198,0.691919,0.991861,145.243,5410000,148.115,130.4739227,,,,,,,,,,,,,,
A31,1,2017-01-06T07:17:53,0,0,1,0,0,0,0,,,,,,,,,,,,,,
B25,1,2017-01-06T07:17:55,216.287,0.736219,0.991472,158.312,5410000,159.255,699.8867188,,,,,,,,,,,,,,
A0B,1,2017-01-06T07:17:59,220.429,0.713014,0.991861,155.636,5410000,157.64,677.8471069,,,,,,,,,,,,,,
A1E,1,2017-01-06T07:18:03,224.719,0.656058,0.989394,144.33,5410000,147.307,72.30010223,,,,,,,,,,,,,,
A0E,65,2017-01-06T07:18:03,,,,,,,,,,,,,,,,,,129.041,35.209,112.6,10
A06,1,2017-01-06T07:18:08,221.697,0.670824,0.989394,146.178,5410000,148.764,156.7540131,,,,,,,,,,,,,,
A0E,65,2017-01-06T07:18:12,,,,,,,,,,,,,,,,,,129.041,35.209,112.6,10
A16,1,2017-01-06T07:18:13,219.571,0.670824,0.9885,145.238,5410000,147.244,74.16439819,,,,,,,,,,,,,,
A3A,1,2017-01-06T07:18:16,221.175,0.677153,0.988952,148.552,5410000,149.82,202.7214508,,,,,,,,,,,,,,
A1C,1,2017-01-06T07:18:26,223.227,0.685591,0.990252,150.105,5410000,152.528,356.8459167,,,,,,,,,,,,,,
A09,1,2017-01-06T07:18:27,220.541,0.681372,0.989394,147.167,5410000,149.81,194.140625,,,,,,,,,,,,,,
