NODE_ID, EVENT_TYPE, EVENT_TIME, VOLTAGE, AMPERE, POWER_FACTOR, ACTIVE_POWER, APPARENT_POWER, AMOUNT_OF_ACTIVE_POWER
B25,1,2017-01-01T01:02:44,223.04,0.708795,0.990252,156.189,158.533,1428.457031
A1C,1,2017-01-01T01:02:49,228.562,0.666605,0.9885,149.861,152.841,1274.458618
A09,1,2017-01-01T01:02:50,224.458,0.668715,0.9885,148.426,149.662,1198.311646
A1A,1,2017-01-01T01:02:58,222.966,0.713014,0.990252,157.904,159.473,1477.248169
B39,1,2017-01-01T01:03:04,227.891,0.649729,0.98757,144.899,148.098,4152.381836
B2A,1,2017-01-01T01:03:20,225.689,0.660277,0.988952,146.01,149.517,1181.306274
A32,1,2017-01-01T01:03:32,222.443,0.723562,0.989828,158.526,160.876,0.509538114
B35,1,2017-01-01T01:03:44,228.376,0.64762,0.987092,145.624,147.55,1139.75415
B39,1,2017-01-01T01:04:03,227.63,0.651839,0.9885,146.308,148.28,4161.603516
B39,1,2017-01-01T01:05:03,227.443,0.651839,0.98804,146.078,148.468,4170.824219
B39,1,2017-01-01T01:06:03,226.622,0.653948,0.98804,144.123,148.322,4180.046387
B39,1,2017-01-01T01:07:02,226.921,0.651839,0.988952,144.492,148.443,4189.269043
B39,1,2017-01-01T01:08:02,226.883,0.653948,0.968658,145.277,148.368,4198.490723
B39,1,2017-01-01T01:09:02,227.368,0.651839,0.967168,146.114,148.231,4207.710938
B39,1,2017-01-01T01:10:02,227.891,0.649729,0.9885,144.909,148.517,4216.929688
B39,1,2017-01-01T01:11:01,227.443,0.651839,0.9885,144.793,148.741,4226.148926
B39,1,2017-01-01T01:12:00,227.443,0.649729,0.98804,146.513,148.274,4235.365234
B39,1,2017-01-01T01:13:00,227.704,0.651839,0.98757,145.962,148.407,4244.580566
B39,1,2017-01-01T01:14:01,227.331,0.651839,0.98757,146.551,148.207,4253.795898
B39,1,2017-01-01T01:15:00,227.07,0.651839,0.9885,145.794,148.067,4263.011719
B20,1,2017-01-01T01:15:03,224.682,0.662386,0.989394,145.989,148.781,1276.892944
B29,1,2017-01-01T01:15:03,226.175,0.713014,0.990252,157.685,161.232,150.8030243
A18,1,2017-01-01T01:15:09,223.264,0.710905,0.989394,156.803,158.692,129.1857452
A02,1,2017-01-01T01:15:16,224.234,0.677153,0.990252,149.458,152.079,1377.693481
B26,1,2017-01-01T01:15:47,222.854,0.670824,0.988952,147.066,149.483,1302.141846
A43,1,2017-01-01T01:15:48,228.115,0.64762,0.98757,145.113,148.171,1264.850708
A13,1,2017-01-01T01:15:51,0,0,1,0,0,0
B1F,1,2017-01-01T01:15:57,224.234,0.685591,0.989394,151.078,154.039,1445.223755
B39,1,2017-01-01T01:16:00,226.809,0.653948,0.989394,146.958,148.32,4272.227539
B36,1,2017-01-01T01:16:03,227.294,0.658167,0.988952,147.035,149.597,1310.744263
B38,1,2017-01-01T01:16:03,226.883,0.658167,0.989394,146.154,149.315,1307.31543
A1D,1,2017-01-01T01:16:08,228.227,0.651839,0.9885,146.672,148.852,1290.301392
A40,1,2017-01-01T01:16:19,214.72,0.694029,0.991472,146.572,148.945,1309.707397
A3B,1,2017-01-01T01:16:30,214.049,0.744657,0.979945,158.389,159.392,4640.985352
A15,1,2017-01-01T01:16:32,221.399,0.675043,0.970114,147.518,149.422,1308.09436
B33,1,2017-01-01T01:16:32,227.704,0.651839,0.988952,145.19,147.945,1273.839844
